;doc;source;author;title;year;period;text_type;sentence
7540;Teatro.IV.44.Testo.txt;MIDIA;Vincenzo Monti;Caio Gracco;1802.0;1801-1850;teatro;"['a questo strazio   dir   m han tratto quelle man medesme che te spensero il d che sconoscente t abbandon la plebe, e tu giacesti rotto la fronte di crudel percossa, e d innocente sangue lunga riga lasciasti, orribilmente strascinato; finch tepido ancor, qual vile ingombro, nel tebro ti gittr, che del primiero civil sangue macchiato al mar fuggiva.']"
7567;BibItMonti13.txt;BibIt;Vincenzo Monti;Il Bardo della Selva Nera;1806.0;1801-1850;poesia;"['van per mezzo alla strage, e non gli arresta il terror ch esce dalle tronche membra, e dal sangue e dall armi orribilmente sparse e confuse; ché sostienli e guida la virtù che fa l uom negli ardui tempi più pensoso d altrui che di se stesso.', 'avean le fiamme intorno orribilmente divorate le case, e su la scura solitaria ruina alto un tacente orror regnava e il lutto e la paura.']"
7568;BibItFoscolo6.txt;BibIt;Ugo Foscolo;Dell'origine e dell'ufficio della letteratura;1809.0;1801-1850;espositivo;"['se non che, oltre alle guerre e alle pesti che, lasciando solitudine e scheletri nelle città, distruggevano e abbandonavano alla dimenticanza que  monumenti, la natura innondò parte del globo e sommerse genti e trofei; anzi ardendo le viscere della terra, e la terra fremendo orribilmente e agitandosi, vomitò fiamme e si squarciò, e i laghi ondeggiarono sulle ceneri delle foreste, e le montagne spalancarono abissi, e i fiumi precipitarono ove dianzi l aquila ergeva il suo volo, e l isole disparvero e, svelti i continenti, furono cinti dalle procelle e dagl intentati spazii del mare.']"
7570;BibItFoscolo20.txt;BibIt;Ugo Foscolo;Epistolario (1812-1813);1812.0;1801-1850;personale;['fino ad oggi io reputava i lamenti inutili affatto ed indizi evidenti d animo infermo: ora bisogna ch io confessi d essere infermo, ed ho anch io l illusione delle persone estremamente   io direi di me orribilmente   infelici.']
7571;ita000068.txt;ItaDraCor;Ugo Foscolo;Ricciarda;1813.0;1801-1850;teatro;['oh di che preghi, sovra l altar delle più arcane stanze, di che minacce insieme, e di che pianti orribilmente insulta il cielo, e trema e geme, e freme.']
7574;BibItFoscolo21.txt;BibIt;Ugo Foscolo;Epistolario (1814-1815);1814.0;1801-1850;personale;"['anche i pochi libri che mi sono capitati alle mani, e che mi sono fatto leggere standomi a letto, mi hanno turbata orribilmente la fantasia.', 'or a lei parrà forse che s io fossi partito con passaporti civili, tutto questo non mi sarebbe avvenuto; ed io ho l onore di dirle che mi sarebbe avvenuto peggio; da che senza quella missione io sarei stato trattato forse bruttissimamente: si sarebbe fors anche allegata contro di me la legge militare chiamandomi disertore, da chi pure vorrebbe che disertassi, e non mi facessi rivedere mai più: certo è che gli avvisi al generale d eckhardt vennero da  signoracci non militari esercenti qui una polizia tutta loro, e di loro jure contro l intenzione del nostro governo ed anche degli austriaci; sono frammassoni anche questi signoracci, con iscopo diverso, ma con gli stessi mezzi, e con più danaro; ed han più maligna volontà di far male con le brighe a chi non hanno coraggio di far male con la spada alla mano: hanno emissarj, corrispondenti, stafette; lo scrissero a bologna; avranno fors anche scritto a firenze: il mio nome è orribilmente ripetuto; dio abbia misericordia di loro poichè non sanno quello che fanno, e perseguono l innocente.', 'ora la spagna mi ha spalancati gli occhi; ed è pur bella, benchè tristissima, la luce del disinganno: orribilmente bella!']"
7576;BibItFoscolo22.txt;BibIt;Ugo Foscolo;Epistolario (1815-1816);1815.0;1801-1850;personale;['dopo questa, ti spedirò la storia del fatale autunno     , quando m hai veduto sì orribilmente costernato a firenze.']
7577;BibItMonti15.txt;BibIt;Vincenzo Monti;La Feroniade;1816.0;1801-1850;poesia;"['già tutta la gran selva è un mar di foco e di terribil luce, a cui la notte spavento accresce, e orribilmente splende per lungo tratto la circéa marina; simigliante al sigéo, quando gli eletti guerrier di grecia del cavallo usciti in faville mand r d ilio le torri, e atterrita la frigia onda si fea specchio al rogo di troia; miserando di tanti eroi sepolcro e di tant ire.']"
7599;Poesia.IV.100.Testo.txt;MIDIA;Filippo Pananti;Il poeta di teatro. prosa letteraria poetico;1817.0;1801-1850;poesia;['xvi  mi dicono improperj, e orribilmente   mi gelan con quel ceffo e il guardo torto:  vedendo quivi comparir repente  le insolite armi, son restato morto.']
7600;GBorribilmente.csv;Gutenberg;Viaggi di Ali Bey el-Abbassi in Africa ed in Asia Ali Bey; v. 2;1817.0;1801-1850;prosa letteraria;"['la popolazione greca era in addietro infinitamente più numerosa; ma vessata di continuo orribilmente da   suoi brutali padroni, soffre ogn  anno una sensibile emigrazione.']"
