;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use
8262;GBorribilmente.csv;Gutenberg; J. B. (Jean Baptiste) Bouvier;Venere ed Imene al tribunale della penitenza: manuale dei confessori;1853.0;1851-1900;prosa letteraria;"['bisogna comportarsi santamente; e in questo caso il sacerdote si comporta verso il santo dei santi non santamente ma orribilmente .']";comportarsi orribilmente;"es ist notwendig, sich auf heilige Weise zu verhalten; und in diesem Fall benimmt sich der Priester gegenüber dem Allerheiligsten nicht heilig, sondern entsetzlich";CU
8263;li1236.txt;CLiGS Ro;Giovanni Ruffini;Lorenzo Benoni/ ovvero scene della vita di un italiano;1853.0;1851-1900;prosa letteraria;"['uno mostra con aria addolorata la guancia, che poco innanzi era sanissima, terribilmente gonfiata per un mal di denti; un altro si è slogata una congiuntura e la mostra orribilmente contratta; un terzo alza l indice della mano destra fasciato di cenci, e dice d esserselo tagliato fino all osso; altri infine sostengono audacemente d aver già consegnato il componimento e che deve essere smarrito, e vanno attorno cercandolo.']";orribilmente contratto;"einer zeigt mit schmerzerfüllter Miene seine Wange, die kurz zuvor noch sehr gesund war, von Zahnschmerzen fürchterlich geschwollen; ein anderer hat ein Gelenk verrenkt und zeigt es schrecklich zusammengezogen...";BU
8263;li1236.txt;CLiGS Ro;Giovanni Ruffini;Lorenzo Benoni/ ovvero scene della vita di un italiano;1853.0;1851-1900;prosa letteraria;['avevo la testa orribilmente intronata e provavo nella faccia un sentimento di bruciore e di tensione insopportabile.'];orribilmente intronato;Mein Kopf war schrecklich betäubt und mein Gesicht fühlte ein brennendes Gefühl und eine unerträgliche Anspannung;BU
8266;BibItCarducci5.txt;BibIt;Giosue Carducci;Juvenilia;1857.0;1851-1900;poesia;['già fuoco e ferro orribilmente in volta percuote i lurchi come turbin fosse, e l antica vendetta entro la molta strage l ali battea torbide e rosse.'];orribilmente percuotere;schon schlagen Feuer und Eisen schrecklich wie Wirbelstürme über den Dreck, und die alte Rache...;BU
8273;GBorribilmente.csv;Gutenberg; Thomas Babington Macaulay Macaulay; Baron,Storia d''Inghilterra, vol 2;1858.0;1851-1900;prosa letteraria;['intanto la folla di fuori cresceva sempre, e orribilmente tempestava.'];orribilmente tempestare;währenddessen wurde die Menge draußen immer größer und stürmte fürchterlich;BU
8276;GBorribilmente.csv;Gutenberg; Thomas Babington Macaulay Macaulay; Baron,Storia d''Inghilterra, vol 1;1858.0;1851-1900;prosa letteraria;['alla vista del corpo di dangerfield, orribilmente lacerato dalle fustigazioni, molti inchinavano a credere che la sua morte fosse stata massimamente, se non al tutto,'];orribilmente lacerato;Beim Anblick von Dangerfields Körper, der von Peitschenhieben schrecklich zerrissen war, verneigten sich viele, um zu glauben, dass sein Tod am meisten, wenn nicht sogar vollständig, … gewesen war;CU
8279;LLGhislanzoni1.txt;Liber Liber;Antonio Ghislanzoni;Abrakadabra;1860.0;1851-1900;prosa letteraria;['quarantamila cadaveri o frammenti di carne umana, orribilmente pestati, confusi, ingrommati di caligine e di sangue?'];orribilmente pestato;vierzigtausend Leichen oder Fragmente menschlichen Fleisches, schrecklich geschlagen, verwirrt, mit Nebel und Blut eingeschmiert?;CU
8279;LLGhislanzoni1.txt;Liber Liber;Antonio Ghislanzoni;Abrakadabra;1860.0;1851-1900;prosa letteraria;['i dottori dell epoca vi rispondono:   la eccezione si è fatta per ristabilire e generalizzare il matrimonio, orribilmente screditato nel secolo precedente.'];orribilmente screditato;...Die Ausnahme wurde gemacht, um die Ehe wiederherzustellen und zu verallgemeinern, die im vorigen Jahrhundert schrecklich diskreditiert war;NU
8286;GBorribilmente.csv;Gutenberg; Massimo d'' Azeglio;Ettore Fieramosca: ossia, La disfida di Barletta;1865.0;1851-1900;prosa letteraria;['l  assassino cogli occhi orribilmente spalancati sulla madre crollò il capo ed accennò che farebbe, ed essa levandosi dal collo una catena che aveva sotto la'];orribilmente spalancato;Der Mörder, dessen Augen fürchterlich weit auf seine Mutter gerichtet waren, senkte den Kopf und deutete an, dass er es tun würde, und sie nahm eine Kette von ihrem Hals, die sie darunter hatte;BU
8297;Poesia.V.17.Testo.txt;MIDIA;Giosue Carducci;Levia gravia;1868.0;1851-1900;poesia;"['viii per raccolta in morte di ricca e bella signora sparsa la faccia bianca de la fuggente vita, con la persona stanca abbandonarsi a l ultima partita lei che sposa virginea pur or ne arrise di beato amor; sentir com angue gelida e questa e quella mano; gli occhi mirar che vitrei orribilmente nuotano nel vano forse in cerca de i pargoli a lo sguardo nascosi ahi non al cor, de i pargoli che muti intorno al letto stanno rigando i volti arguti di lacrimette, ed il perch non sanno, e come sogno i fervidi baci materni penseranno un d; e intorno l ombra stendersi de la morte odiosa, mentre pur su  l cadavere si lamenta con dio la madre annosa ch abbia a compor ne l ultima pace chi a premer gli occhi suoi nutr; deh quanta pita!']";orribilmente nuotare;"durch den Tod einer reichen und schönen Frau zerstreute sich das weiße Gesicht des flüchtigen Lebens, mit der müden Person, die sich dem letzten Spiel hingab, lächelte sie, die Virginea heiratet, sie noch jetzt mit seliger Liebe an; sich wie kalte Angst fühlen und diese und jene Hand; die Augen schauen, die glasig schrecklich im Nichts schwimmen...";CU
