;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;
48411;IWorribilmente.csv;itWaC;http://filmup.leonardo.it/opinioni/op.php?uid=2279&pag=3&ord=1;http://filmup.leonardo.it/opinioni/op.php?uid=2279&pag=3&ord=1;2006.0;2001-2021;web;['un film assolutamente senza trama, con inquadrature alla beautiful, effetti orribilmente plastici ed artficiosi, incongruenze storiche, dialoghi banali e scontatissimi  vedi quello terribilmente'];orribilmente plastico;ein Film absolut ohne Plot, mit wunderschönen Aufnahmen, schrecklich plastischen und kunstvollen Effekten, historischen Ungereimtheiten, banalen und abgedroschenen Dialogen sieht das furchtbar aus;CU;!
48519;IWorribilmente.csv;itWaC;http://www.barcellonapg.it/Rubriche/sanlibero/244.htm;http://www.barcellonapg.it/Rubriche/sanlibero/244.htm;2006.0;2001-2021;web;['ho ancora nelle orecchie le urla di due soldatini iracheni orribilmente bruciati dal   fuoco amico   degli f   .'];orribilmente bruciato;Ich habe immer noch die Schreie zweier irakischer Soldaten in meinen Ohren, die vom freundlichen Feuer schrecklich verbrannt wurden;CU;
48520;IWorribilmente.csv;itWaC;http://www.liberliber.it/biblioteca/s/salgari/i_pirati_della_malesia/html/pm_p1_04.htm;http://www.liberliber.it/biblioteca/s/salgari/i_pirati_della_malesia/html/pm_p1_04.htm;2006.0;2001-2021;web;['poi piombò sul tappeto con la faccia orribilmente sconvolta e le mani contratte sul cuore.'];orribilmente sconvolto;dann landete er auf dem Teppich, sein Gesicht entsetzlich geschockt und seine Hände über seinem Herzen geballt;BU;
48552;IWorribilmente.csv;itWaC;http://www.db.avvenire.it/avvenire/edizione_2004_10_29/articolo_487184.html;http://www.db.avvenire.it/avvenire/edizione_2004_10_29/articolo_487184.html;2006.0;2001-2021;web;['gli estremisti sembrano dunque seguire un percorso orribilmente coerente: quasi a voler sottolineare di continuo la volontà di   separare   l   iraq dall   occidente, colpiscono'];orribilmente coerente;Die Extremisten scheinen daher einen schrecklich kohärenten Weg zu gehen: Als wollten sie den Wunsch, den Irak vom Westen zu trennen, immer wieder unterstreichen, schlagen sie zu;BU;
48567;IWorribilmente.csv;itWaC;http://www.biuso.it/cybersofia/post.asp?method=ReplyQuote&FORUM_ID=1&CAT_ID=1&Forum_Title=Mente&TOPIC_ID=125&REPLY_ID=534&Topic_Title=In+edicola+questa+settimana+%28anzi%3A+oggi%21%29;http://www.biuso.it/cybersofia/post.asp?method=ReplyQuote&FORUM_ID=1&CAT_ID=1&Forum_Title=Mente&TOPIC_ID=125&REPLY_ID=534&Topic_Title=In+edicola+questa+settimana+%28anzi%3A+oggi%21%29;2006.0;2001-2021;web;['disgusto al cyborg uomo, come se vivere, e magari fare l   amore, con una persona cyborg modificata fosse qualcosa di orribilmente innaturale.'];orribilmente innaturale;Ekel vor dem Cyborg-Mann, als ob das Leben und vielleicht Liebe machen mit einer modifizierten Cyborg-Person etwas schrecklich Unnatürliches wäre;BU;
48590;IWorribilmente.csv;itWaC;http://www.classicitaliani.it/sette/monti_mitologia.htm;http://www.classicitaliani.it/sette/monti_mitologia.htm;2006.0;2001-2021;web;"['scheltro spaventoso, armato d   un oriuolo a polve e d   una ronca; mentre a raggio di luna oscene larve danzano a tondo, e orribilmente urlando gridano: pazienza, pazienza.']";orribilmente urlare;"beängstigendes Skelett, bewaffnet mit einem pulverisierten Goldfisch und einer Ronca; während obszöne Larven im Kreis herumtanzen und fürchterlich schreien: Geduld, Geduld";CU;
48597;IWorribilmente.csv;itWaC;http://lists.peacelink.it/animali/msg26581.html;http://lists.peacelink.it/animali/msg26581.html;2006.0;2001-2021;web;['riti satanici nel casolare vicino al campus scolastico scritte inneggianti al   maligno  , tre teste di gatto e un cane orribilmente ucciso con un pugnale provincia di lecce bande di piccoli balordi in cerca di forti emozioni, o veri e propri riti'];orribilmente ucciso;satanische Riten in der Hütte in der Nähe des Schulcampus geschrieben, die den Bösen preisen, drei Katzenköpfe und ein Hund, der mit einem Dolch schrecklich getötet wurde...;CU;
48600;IWorribilmente.csv;itWaC;http://www.intercom.publinet.it/ic11/Ballard3.htm;http://www.intercom.publinet.it/ic11/Ballard3.htm;2006.0;2001-2021;web;['costretto a convincersi che merita tutti i trattamenti che riceve perché in lui c   è qualcosa  mai specificato  di orribilmente colpevole.'];orribilmente colpevole;gezwungen, sich selbst davon zu überzeugen, dass er all die Behandlung verdient, die er erhält, weil er etwas Unbestimmtes an sich hat, das schrecklich schuldig ist;BU;
48617;IWorribilmente.csv;itWaC;http://www.sfairos.it/jack.htm;http://www.sfairos.it/jack.htm;2006.0;2001-2021;web;['una beretta calibro   , furono: stefania pettini e pasquale gentilcore     settembre      , il corpo della ragazza fu orribilmente deturpato, le furono inflitte ben novantasei ferite da taglio nel torace e nella zona pubica e le fu infilato un tralcio'];orribilmente deturpato;…der Körper des Mädchens war schrecklich entstellt, 96 Stichwunden wurden ihr auf der Brust und im Schambereich zugefügt, und ein Ast steckte...;BU;
48620;IWorribilmente.csv;itWaC;http://filmup.leonardo.it/primatisposopoitirovino.htm;http://filmup.leonardo.it/primatisposopoitirovino.htm;2006.0;2001-2021;web;['che   intollerable cruelty     orribilmente tradotto con   prima ti sposo, poi ti rovino    fosse uno di quei film che si ricordano e di cui si parlerà a lungo lo si è'];orribilmente tradotto;Diese unerträgliche Grausamkeit, schrecklich übersetzt als „Erst heirate ich dich, dann ruiniere ich dich“, war einer dieser Filme, an die man sich erinnert und über die noch lange gesprochen wird;CU;
