;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;
10701;GBorribilmente.csv;Gutenberg; Arnaldo Bonaventura;I Bagni di Lucca, Coreglia e Barga;1951.0;1951-2000;prosa letteraria;['da questa parte è la chiesa, ben poco notevole ed oggi orribilmente dipinta nella facciata a finte colonnine, ma che ha al fianco un grazioso campaniletto.'];orribilmente dipinto;auf dieser Seite ist die Kirche, nicht sehr bemerkenswert und heute an der Fassade schrecklich mit falschen Säulen bemalt, die aber eine hübsche kleine Glocke an der Seite hat;BU;
10797;diacorisMalaparte1.txt;DiaCoris;Curzio Malaparte;Maledetti toscani;1956.0;1951-2000;espositivo;['faliero e baldino , che dormivano da piedi , s   erano raccolti i ginocchi sotto il ventre , per paura di quella mano che , muovendosi , faceva scricchiolare orribilmente il gran materasso di foglie di granturco .'];scricchiolare orribilmente;Faliero und Baldino, die im Stehen schliefen, hatten die Knie unter den Bauch gezogen, aus Angst vor dieser Hand, die bei ihrer Bewegung die große Matratze aus Maisblättern fürchterlich knarren ließ;BU;
10798;LISJacoviello1.txt;LIS;Alberto Jacoviello;Viaggio da Sopron a Györ e Budapest durante i tragici giorni vissuti dall'Ungheria;1956.0;1951-2000;stampa;['eppure , lo scontro è durato per tutta una giornata e la notte successiva , con perdite di uomini da parte sovietica : io stesso , ripassando il mattino dopo , a poche ore dalla fine del combattimento , ho visto sulla strada i cadaveri di cinque o sei soldati sovietici orribilmente maciullati dalle granate tirate dagli insorti .'];orribilmente maciullato;Trotzdem dauerte der Zusammenstoß einen ganzen Tag und die folgende Nacht mit Verlusten von Männern auf sowjetischer Seite: Ich selbst, als ich am nächsten Morgen, einige Stunden nach dem Ende des Kampfes, zurückging, sah die Leichen von fünf oder sechs Soldaten auf der Straße Sowjets, die von Granaten, die von Aufständischen geworfen wurden, schrecklich verstümmelt wurden;CU;
10869;GBorribilmente.csv;Gutenberg; Sibilla Aleramo;Una Donna;1959.0;1951-2000;prosa letteraria;['del mio antico compagno di ufficio, per lo stradone maggiore del paese, con in capo un cappello piumato che mi pesava orribilmente , e la persona impacciata entro un vestito all  ultima moda, mi parve che un abisso di tempo e di cose mi separasse dalla'];pesare orribilmente;von meinem alten Bürogefährten, auf der Hauptstraße der Stadt, mit einem Federhut auf dem Kopf, der mich schrecklich belastete, und der Person, die in einem Kleid der neuesten Mode verlegen war, schien mir ein Abgrund der Zeit und der Dinge trennte mich von;NU;
10967;diacorisGiovanni1.txt;DiaCoris;Giovanni XXIII;Mater et Magistra;1961.0;1951-2000;espositivo;"['pertanto , come osserva con perspicacia il sommo pontefice ,   alla libertà di mercato è sottentrata l   egemonia economica ; alla bramosia del lucro è seguita la sfrenata cupidigia del predominio ; tutta l   economia è cosi diventata orribilmente dura , inesorabile , crudele          determinando l   asservimento dei poteri pubblici agli interessi di gruppo e sfociando nell   imperialismo internazionale del denaro .']";orribilmente duro;die ganze Wirtschaft ist dadurch schrecklich hart, unerbittlich, grausam geworden, was zur Versklavung der öffentlichen Macht durch Gruppeninteressen und zum internationalen Geldimperialismus geführt hat;NU;
10981;diacorisTodisco1.txt;DiaCoris;Alfredo Todisco;Viaggio in India;1962.0;1951-2000;espositivo;['pavimenti , muri , porte , suppellettili , appaiono orribilmente unti , come nei covili , il letto che si intravvede nel fondo è un ammasso informe .'];orribilmente unto;Fußböden, Wände, Türen, Einrichtungsgegenstände wirken furchtbar schmierig, denn im Covili ist das Bett, das man ganz unten erkennen kann, eine formlose Masse;NU;
11011;diacorisZolla1.txt;DiaCoris;Elémire Zolla;Storia del fantasticare;1964.0;1951-2000;espositivo;['bifolchi balordi consumano queste creature orribilmente allegre del proprio sacrificio : una combinazione che ha fatto gridare ad arte hogarthiana , addirittura a teorie del capro espiatorio o del redentore divino i critici più blasfemi .'];orribilmente allegro;törichte Tölpel verzehren diese schrecklich fröhlichen Geschöpfe ihres eigenen Opfers: eine Kombination, die die blasphemischsten Kritiker dazu gebracht hat, Hogarthian-Kunst, sogar Sündenbocktheorien oder göttlichen Erlöser zu beschwören;BU;
11023;diacorisAprino1.txt;DiaCoris;Giovanni Aprino;L'ombra delle colline;1964.0;1951-2000;prosa letteraria;['il porto appariva lurido , tra rugginosi arti in abbandono , un gigante morto che la rigidità cada   verica costringe , tra ginocchi inchiodati , leve nelle brac   cia , pinze di dita , a giacere orribilmente scomposto .'];orribilmente scomposto;der Hafen sah schmutzig aus, zwischen rostigen Gliedern in Verlassenheit, ein toter Riese, dessen Starrheit in Kraft tritt, zwischen genagelten Knien, Hebeln in seinen Armen, Zangen an seinen Fingern, um schrecklich zerzaust zu liegen;BU;
11023;diacorisAprino1.txt;DiaCoris;Giovanni Aprino;L'ombra delle colline;1964.0;1951-2000;prosa letteraria;['piú mi avvicinavo al muro , piú la mia ombra costret   ta a drizzarsi deformata si rivelava leone , il pelo irto , le zampe anteriori orribilmente levate .'];orribilmente levato;Je näher ich der Wand kam, desto mehr entpuppte sich mein deformierter, gerader werdender Schatten als ein Löwe mit gesträubtem Fell und furchtbar erhobenen Vorderbeinen;CU;
11027;diacorisCaproni1.txt;DiaCoris;Giorgio Caproni;Traduzione di Bel-Ami di Guy de Maupassant;1965.0;1951-2000;prosa letteraria;"['mi sembra d   essere solo sulla tetra , orribilmente solo , ma assediato da oscuri pericoli , da cose sconosciute e terrificanti ; e la parete che mi separa dal vicino che non conosco , me lo rende lontano quanto le stelle che scorgo dalla finestra .']";orribilmente solo;es scheint mir, als wäre ich allein auf der kahlen Erde, schrecklich allein, aber belagert von dunklen Gefahren, von unbekannten und schrecklichen Dingen…;BU;
