;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use
8682;GBspaventosamente.csv;Gutenberg; Gaetano Negri;L''Imperatore Giuliano l''Apostata: studio storico;1901.0;1901-1950;prosa letteraria;['e il concilio di milano si sciolse, dopo aver fornito ancora maggior esca all  incendio che già spaventosamente divampava.'];spaventosamente divampare;und der Mailänder Rat löste sich auf, nachdem er dem Feuer, das bereits fürchterlich wütete, noch größeren Köder geliefert hatte;CU
8683;LLInvernizio1.txt;Liber Liber;Carolina Invernizio;I misteri delle soffitte;1901.0;1901-1950;prosa letteraria;['la giovane era sempre spaventosamente pallida ed il medico, curvo su lei, esaminava attentamente le lividure del collo.'];spaventosamente pallido;die junge Frau war immer schrecklich blass und der Arzt, über sie gebeugt, untersuchte sorgfältig die Blutergüsse an ihrem Hals;BU
8685;GBspaventosamente.csv;Gutenberg; Gaetano Negri;L''Imperatore Giuliano l''Apostata: studio storico;1901.0;1901-1950;prosa letteraria;['anche il cristianesimo non seppe tenersi immune dalla superstizione, anzi vi cadde spaventosamente , e non potè in parte liberarsene che all  aurora della scienza positiva.'];cadere spaventosamente;auch das Christentum konnte sich dem Aberglauben nicht entziehen, im Gegenteil, es verfiel ihm schrecklich und konnte ihn zum Teil bis zum Morgengrauen der positiven Wissenschaft nicht loswerden;BU
8686;GBspaventosamente.csv;Gutenberg; Gaetano Negri;L''Imperatore Giuliano l''Apostata: studio storico;1901.0;1901-1950;prosa letteraria;['la sua filosofia diventa spaventosamente complicata e confusa per la moltiplicazione delle ipostasi dell  unità divina.'];spaventosamente complicato;seine Philosophie wird schrecklich kompliziert und verwirrt durch die Vervielfachung der Hypostasen der göttlichen Einheit;NU
8700;Personali.V.12.Testo.txt;MIDIA;Guido Gozzano / Amalia Guglielminetti;Lettere d’amore;1903.0;1901-1950;personale;['la ne  cessit tipografica mi costrinse a ridurre spaventosamente leffusione del mio entusiasmo.'];ridurre spaventosamente;die typografische Notwendigkeit zwang mich, den Rausch meiner Begeisterung schrecklich zu reduzieren;NU
8702;GBspaventosamente.csv;Gutenberg; Ernesto Pozzi;Mentana e il dito di Dio: Episodi narrati dal superstite Ettore Pozzi - Seconda edizione, con importanti aggiunte fatte dall''Autore;1903.0;1901-1950;prosa letteraria;['impassibile come ajace a sfida contro ministri e maggioranza, accusati di violazione del segreto delle lettere, che spaventosamente gli urlavano in faccia'];urlare spaventosamente;teilnahmslos wie Ajace in der Herausforderung gegen Minister und Mehrheit, angeklagt der Verletzung des Briefgeheimnisses, die ihm fürchterlich ins Gesicht schrieen;BU
8703;GBspaventosamente.csv;Gutenberg; Enrico Panzacchi;Teste quadre;1903.0;1901-1950;prosa letteraria;['disputazioni religiose e degli odii teologici, che la storia di tutti i tempi e di tutte le religioni ha resi così spaventosamente proverbiali, egli si lascia reggere da un alto senso d  umana equità, la quale poggia forse i piedi in un probabilismo'];spaventosamente proverbiale;Religionsstreitigkeiten und theologischer Hass, der die Geschichte aller Zeiten und aller Religionen so schrecklich sprichwörtlich gemacht hat…;BU
8731;GBspaventosamente.csv;Gutenberg; Ettore Socci;Da Firenze a Digione: Impressioni di un reduce Garibaldino;1904.0;1901-1950;prosa letteraria;"['il male però progrediva spaventosamente : mi martellavano le tempie; avevo perduto la voce, le gambe mi reggevano appena.']";progredire spaventosamente;die Krankheit aber schritt fürchterlich voran: meine Schläfen hämmerten, ich hatte meine Stimme verloren, meine Beine hielten mich kaum noch;CU
8732;LLCena1.txt;Liber Liber;Giovanni Cena;Gli ammonitori;1904.0;1901-1950;prosa letteraria;['era divenuto spaventosamente arido e secco.'];spaventosamente arido;es war entsetzlich dürr und trocken geworden;NU
8747;LLDeledda1.txt;Liber Liber;Grazia Deledda;Cenere;1904.0;1901-1950;prosa letteraria;['egli cadde sulle sanse, avvoltolandosi, contorcendosi, saltando come un verme, con gli occhi spaventosamente aperti e i lineamenti contratti.'];spaventosamente aperto;er fiel auf die Hülsen, wand sich, wand sich, hüpfte wie ein Wurm, die Augen schrecklich weit geöffnet und die Züge zusammengezogen;BU
8807;GBspaventare.csv;Gutenberg; Cletto Arrighi;Nanà a Milano;1905.0;1901-1950;prosa letteraria;['e si spaventava di quando in quando con tanta cordialità nel veder ingrossare spaventosamente le somme del loro debito!'];ingrossare spaventosamente;und er war von Zeit zu Zeit mit solcher Herzlichkeit erschrocken, ihre Schuldensummen fürchterlich steigen zu sehen;BU
8943;GBspaventosamente.csv;Gutenberg; Edmondo De Amicis;Spagna;1907.0;1901-1950;prosa letteraria;['di tutti i paesi, ogni volta che ebbero a dipingere qualcosa di prodigiosamente alto, di mostruosamente largo, di spaventosamente profondo, d  incredibilmente grandioso.'];spaventosamente profondo;ausgerechnet dann, wenn sie etwas ungeheuer Hohes, ungeheuer Weites, schrecklichTiefes, Unglaubliches zu malen hatten;NU
9019;LLSalgari1.txt;Liber Liber;Emilio Salgari;Alla conquista di un impero;1907.0;1901-1950;prosa letteraria;['urlava spaventosamente.'];urlare spaventosamente;er schrie fürchterlich;BU
9019;LLSalgari1.txt;Liber Liber;Emilio Salgari;Alla conquista di un impero;1907.0;1901-1950;prosa letteraria;['i convitati fuggono disperatamente aggirandosi, come lupi in trappola, intorno alla tavola, rovesciando sedie e tondi, urlando spaventosamente e tendendo le braccia verso il rajah che continuava a sparare.'];urlare spaventosamente;Die Gäste fliehen verzweifelt, wandern wie gefangene Wölfe um den Tisch herum, werfen Stühle und Patronen um, schreien fürchterlich und greifen nach dem Rajah, der weiter schießt;CU
9019;LLSalgari1.txt;Liber Liber;Emilio Salgari;Alla conquista di un impero;1907.0;1901-1950;prosa letteraria;['il corpo, spaventosamente scarno, era quasi interamente nudo, non avendo che una striscia di stoffa giallastra attorno ai fianchi.'];spaventosamente scarno;ihr Körper, schrecklich hager, war fast vollständig nackt und hatte nur einen Streifen gelblichen Stoffs um ihre Hüften;NU
9019;LLSalgari1.txt;Liber Liber;Emilio Salgari;Alla conquista di un impero;1907.0;1901-1950;prosa letteraria;"['passarono ancora alcuni secondi, poi un cranio, nudo e lucido come la palla d un bigliardo, comparve bruscamente; quindi il viso di kadar, spaventosamente alterato, emerse.']";spaventosamente alterato;"noch ein paar Sekunden vergingen, dann erschien plötzlich ein Schädel, nackt und glänzend wie eine Billardkugel; dann tauchte Kadars Gesicht auf, schrecklich verändert";BU
9019;LLSalgari1.txt;Liber Liber;Emilio Salgari;Alla conquista di un impero;1907.0;1901-1950;prosa letteraria;['un rombo metallico fece tremare perfino le pareti della vasta sala e oscillare spaventosamente le massicce porte di bronzo.'];oscillare spaventosamente;ein metallisches Grollen ließ sogar die Wände der riesigen Halle erzittern, und die massiven Bronzetüren schwankten fürchterlich;BU
9019;LLSalgari1.txt;Liber Liber;Emilio Salgari;Alla conquista di un impero;1907.0;1901-1950;prosa letteraria;"['i bisonti, vedendoli allontanarsi, anzich calmarsi si misero a muggire spaventosamente ed a spiccare salti; poi si provarono a gettarsi a loro volta nel pantano, ma accorgendosi che le loro gambe, che non avevano lo spessore di quelle degli elefanti, sprofondavano interamente, rimontarono lo strato duro, seguendo su quello i fuggiaschi.']";muggire spaventosamente;"der Bison, der sie weggehen sah, fing an, anstatt sich zu beruhigen, fürchterlich zu muhen und zu springen; dann versuchten sie, sich in den Sumpf zu stürzen, aber als sie merkten, dass ihre Beine, die nicht so dick waren wie die von Elefanten, vollständig einsanken...";BU
