;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use
8261;GBspaventosamente.csv;Gutenberg; Silvio Pellico;Rafaella;1853.0;1851-1900;prosa letteraria;"[', e divoravano cadaveri insepolti, o sentendoli al fiato sotterra li disseppellivano per cibarsene, ed inseguivano spaventosamente i vivi; sicchè bisognò alfine dar loro la caccia, ed a poco a poco distruggerli come bestie feroci.']";inseguire spaventosamente;"und sie verschlangen unbestattete Leichen oder fühlten sie unter der Erde in ihrem Atem, gruben sie aus, um sie zu essen, und verfolgten die Lebenden fürchterlich; so dass es schließlich notwendig war, sie zu jagen und sie nach und nach wie wilde Tiere zu vernichten";CU
8304;LLBersezio1.txt;Liber Liber;Vittorio Bersezio;La carità del prossimo;1868.0;1851-1900;prosa letteraria;['col, gli occhi spaventosamente fuor del punto, la faccia disperata, i denti che battevano insieme dal terrore, ella grid:   non toccatemi.'];spaventosamente fuor del punto;mit schrecklich verzerrten Augen, verzweifeltem Gesicht, vor Entsetzen zusammenklappernden Zähnen rief sie: Fass mich nicht an;CU
8313;LLBarrili5.txt;Liber Liber;Anton Giulio Barrili;L'olmo e l'edera;1869.0;1851-1900;prosa letteraria;['vero tutto ci,  spaventosamente vero!'];spaventosamente vero;wahr das alles, schrecklich wahr!;BU
8314;li0477.txt;CLiGS Ro;Iginio Ugo Tarchetti;Fosca;1869.0;1851-1900;prosa letteraria;"['tutto ciò mi pareva allora assai puerile; pure ho pensato soventi a queste cose, anche in anni nei quali aveva già conosciuto piú positivamente e piú spaventosamente la vita, e ho dovuto sempre esclamare:   felici coloro che amarono a questo modo!']";conoscere spaventosamente;"das alles kam mir damals sehr kindisch vor; doch habe ich oft an diese Dinge gedacht, selbst in Jahren, in denen er das Leben schon positiver und schrecklicher kannte, und immer musste ich ausrufen: glücklich sind die, die so liebten!";CU
8315;li0166.txt;CLiGS Ro;Giuseppe Garibaldi;Cantoni il volontario;1870.0;1851-1900;prosa letteraria;['quivi un contadino che si affaticava a traversare la folla con un somarello scarico per guadagnar la campagna fu sequestrato, ed alle acclamazioni universali il gesuita avvelenatore fu inforcato sul discendente di mida, che esaltato dal chiasso della moltitudine si accinse a ragliare spaventosamente ad edificazione e divertimento massimo dei monelli, che per compire l opera regalavano il prete con tomatesi, radici, torsi di cavoli e sonorissimi fischi.'];ragliare spaventosamente;dort wurde ein Bauer entführt, der sich mit einem unbeladenen Esel durch die Menge mühte, um das Land zu erobern, und unter allgemeinem Beifall wurde der jesuitische Giftmörder auf den Nachkommen des Midas gelegt, der, erregt durch das Gebrüll der Menge, im Begriff war, fürchterlich zu schreien zur Erbauung und Unterhaltung, höchstens der Bengel, die dem Priester zur Vollendung der Arbeit Tomatesi, Wurzeln, Kohltorsi und laute Pfeifen überreichten;CU
8315;li0166.txt;CLiGS Ro;Giuseppe Garibaldi;Cantoni il volontario;1870.0;1851-1900;prosa letteraria;['veramente il fuoco progrediva spaventosamente tra il legname delle vecchie gallerie, e lo scroscio delle superiori cadendo in tizzoni sopra le inferiori già infuocate, con immenso fracasso faceva un finimondo.'];progredire spaventosamente;wirklich, das Feuer breitete sich furchtbar zwischen dem Holz der alten Galerien aus, und das Dröhnen der oberen, die in Glut auf die bereits brennenden unteren fielen, machte mit einem ungeheuren Krachen ein Durcheinander;BU
8317;li0211.txt;CLiGS Ro;Giuseppe Garibaldi;Clelia ovvero Il governo dei preti;1870.0;1851-1900;prosa letteraria;['il lieve greco che aveva spinto la clelia fuori dal porto a due miglia calmò intieramente: nuvoloni neri neri si avanzavano da libeccio e, peggio di tutto, il mare da quella via veniva ingrossando spaventosamente: il vento dapprima temuto dai nostri argonauti era ora ardentemente desiderato poiché lo yacht privo di quell aiuto si vedeva spinto verso la spiaggia senza governo ed in pericolo quasi certo di dare contro alla costa e perdersi.'];ingrossare spaventosamente;...schwarze Wolken zogen von Libeccio herauf, und am schlimmsten war, dass das Meer von dieser Straße fürchterlich anschwoll: Der Wind, den unsere Argonauten zuerst gefürchtet hatten, war jetzt heiß erwünscht, da die Yacht ohne diese Hilfe ohne Regierung zum Strand geschoben wurde und mit ziemlicher Sicherheit in Gefahr war, gegen die Küste zu fahren und sich zu verirren;BU
8317;li0211.txt;CLiGS Ro;Giuseppe Garibaldi;Clelia ovvero Il governo dei preti;1870.0;1851-1900;prosa letteraria;['ma altre forze nemiche, numerose e fresche accorsero a sostenere e raccogliere i fuggenti pigliando posizione dietro le alture del monte s. giuliano, donde spaventosamente facevan fuoco colle loro armi superiori.'];spaventosamente fare fuoco;aber andere feindliche Streitkräfte, zahlreich und frisch, eilten herbei, um die Flüchtlinge zu unterstützen und einzusammeln, zu ihrer Position hinter den Höhen des Monte S. Giugliano, von wo aus sie mit ihren überlegenen Waffen schrecklich feuerten;CU
8415;GBspaventosamente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il destino: romanzo;1872.0;1851-1900;prosa letteraria;"['da lattanzio; sentì scorrersi un gelo per le ossa, le s  increspò per ribrezzo la pelle; alla catena si alternavano spaventosamente gli anelli ora di peccato, ora di delitto: di volgere gli occhi in su per soccorso non correva più tempo, nè lo avrebbe']";alternarsi spaventosamente;"...sie spürte, wie ihr ein Schauer durch die Knochen lief, ihre Haut war vor Ekel gerunzelt; die Kette wechselte schrecklich die Ringe, Stunde der Sünde, Stunde des Verbrechens…";CU
8416;GBspaventosamente.csv;Gutenberg; Alessandro Manzoni;I promessi sposi. Opere di Alessando Manzoni, vol. 1;1872.0;1851-1900;prosa letteraria;[', con gran sospensione, come avesse a finire quella burrasca, lontano però dal sospettar che dovesse cader così spaventosamente addosso a lui.'];cadere spaventosamente;mit großer Schwebe, als müsste dieser Sturm enden, aber weit davon entfernt, zu ahnen, dass er so schrecklich auf ihn hereinbrechen sollte;CU
8417;GBspaventosamente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;"['ora, l  industria della seta, come tutte le altre, era già decaduta spaventosamente nel milanese, prima di quelle recenti sciagure; e queste le avevan poi dato l  ultimo crollo.']";decadere spaventosamente;"jetzt war die Seidenindustrie, wie alle anderen, bereits vor diesen jüngsten Katastrophen in der Gegend von Mailand fürchterlich verfallen; und diese hatten ihr dann den letzten Zusammenbruch beschert";BU
8419;GBspaventosamente.csv;Gutenberg; Francesco Domenico Guerrazzi;La battaglia di Benevento: Storia del secolo XIII;1872.0;1851-1900;prosa letteraria;"['condizioni; pure e   mi è forza, e con dolore inestimabile, confessare che i delitti, invece di andarne diminuiti, spaventosamente si accrebbero.']";spaventosamente accrescersi;"Bedingungen; doch und es ist meine Stärke, und mit unschätzbarem Schmerz zuzugeben, dass die Verbrechen, anstatt verringert zu werden, erschreckend zunehmen";BU
8428;GBspaventosamente.csv;Gutenberg; Francesco Domenico Guerrazzi;La battaglia di Benevento: Storia del secolo XIII;1872.0;1851-1900;prosa letteraria;['urla spaventosamente gorello, e con furia rovinante respinge il conte.'];urlare spaventosamente;Gorello schreit fürchterlich und weist mit verheerender Wut die Zählung zurück;CU
