;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use
15;ita000099.txt;ItaDraCor;Annibale Marchese;Il Crispo;1715.0;1700-1750;teatro;['ira nel cor tutti i miei spirti accoglie, ed al mal sì mi rende ardita e presta, ma qualor sola stommi, ahi lassa, in quali spaventevoli aspetti a me davanti appaion tutti i miei misfatti, e come orribilmente al cor freme, e rimbomba la ria memoria di cotante colpe!'];orribilmente fremere;Zorn in meinem Herzen begrüßt alle meine Geister und macht mich tapfer und verleiht der Krankheit, aber nur was für Magen, autsch schlaff, in welch furchtbaren Aspekten alle meine Verbrechen vor mir erscheinen, und wie schrecklich das Herz zittert und die Erinnerung daran widerhallt viele Fehler!;CU
15;ita000099.txt;ItaDraCor;Annibale Marchese;Il Crispo;1715.0;1700-1750;teatro;['oh com in un sol giorno in tanti eccessi involger mi potei: qual folta schiera di falli appare al mio pensiero, e dice: siam noi tuoi figli, o come orribilmente l?'];orribilmente;ach wie konnte ich mich an einem einzigen Tage auf so viele Exzesse einlassen: welch große Fehlerschar erscheint mir in Gedanken und sagt: sind wir deine Kinder, oder wie entsetzlich?;CU
17;BibItDiversi4.txt;BibIt;diversi;Rime degli Arcadi / tomo secondo;1716.0;1700-1750;poesia;['ii ma scolorirsi in un baleno io vidi la bella immago, e  l sacro allor squarciarse, e l aere intorno, e  l suolo e  l mar turbarse, ed ululare orribilmente i lidi.'];ululare orribilmente;aber blitzartig verfärbt sah ich das schöne Bild, und das Heilige zerriss dann, und die Luft ringsherum, und der Boden und das Meer bewegten sich, und die Küsten heulten fürchterlich;CU
19;BibItDiversi6.txt;BibIt;diversi;Rime degli Arcadi / tomo terzo;1716.0;1700-1750;poesia;['qual uom, che chiuso in cupa, orrida, e mesta prigion sospiri e notte e giorno invano la libertà, traendo egro e mal sano l afflitto piede in quella parte e in questa, se fiamma ardente a la magion molesta s apprende, onde ne caggia parte al piano, gode in mirando qual novello e strano varco al suo scampo il ciel pietoso appresta, così il santo levita, or che letale vampa rimira orribilmente intorno strugger la spoglia sua caduca e frale, gioisce, e benedice il lieto giorno, in cui, franta la sua prigion mortale, può far l anima bella al ciel ritorno.'];rimirare orribilmente;welcher Mann, der in düsterer, grauenvoller und trauriger Gefangenschaft seufzte und Tag und Nacht in vergeblicher Freiheit schloss ... so schmilzt der heilige Levit, jetzt, wo tödliche Flammen ihn schrecklich umblicken, seine vergänglichen und schwachen Überreste, freut sich und segnet den glücklichen Tag , in dem er, sein tödliches Gefängnis durchbrechend, die Seele zum Himmel schön machen kann.;CU
19;BibItDiversi6.txt;BibIt;diversi;Rime degli Arcadi / tomo terzo;1716.0;1700-1750;poesia;['pur di catena e morte ti fé temer d eugenio il brando solo, d austriaco sdegno orribilmente acceso, e il periglio compreso cessar ti fé dall ostinato orgoglio, e servi al duce in campo, a carlo in soglio.'];orribilmente acceso;sogar vor Kette und Tod ließ dich von Eugenio der einsame Brando fürchten, von österreichischer Empörung entsetzlich entzündet, und die darin enthaltene Gefahr ließ dich vom hartnäckigen Stolz ablassen, und du dienst dem Herzog im Felde, Carlo auf dem Thron;CU
20;BibItDiversi5.txt;BibIt;diversi;Rime degli Arcadi / tomo sesto;1717.0;1700-1750;poesia;['trema il suol, trema il mare, e mare il suolo sembra, tutto ondeggiando orribilmente.'];ondeggiare orribilmente;der Boden zittert, das Meer zittert, und der Boden scheint auf See zu sein, alles schwankt fürchterlich;BU
20;BibItDiversi5.txt;BibIt;diversi;Rime degli Arcadi / tomo sesto;1717.0;1700-1750;poesia;['se poi nero, spumoso, ribolle orribilmente il pelago sdegnoso, sbattendo alto fremente flutti e turbini in guerra, allor mi salvo in terra: e dal timor mi affida la stabil terra e fida.'];ribollere orribilmente;wenn dann schwarz, schäumend, das verächtliche Meer fürchterlich brodelt, im Kriege hohe zitternde Wogen und Wirbelstürme schlägt, dann rette ich mich auf Erden: und aus Furcht vertraue mir das feste Land und Vertrauen an;BU
21;BibItDiversi3.txt;BibIt;diversi;Rime degli Arcadi / tomo quinto;1717.0;1700-1750;poesia;['finché di ber sazio non già, ma stanco, e scorsi traballando intorno tutti e i monti e i piani, e già di forze manco, orribilmente da i vinosi flutti urtato e vinto, il suol presse col fianco, e così disse tra gorgogli e rutti.'];orribilmente urtato;...und ich ringsherum alle Berge und Ebenen erblickte, und schon kraftlos, furchtbar von den Weinwogen geschlagen und besiegt, die Sohle mit der Seite gedrückt…;CU
21;BibItDiversi3.txt;BibIt;diversi;Rime degli Arcadi / tomo quinto;1717.0;1700-1750;poesia;['sovra il mio capo orribilmente fischia la spada ultrice, d atro sangue lorda.'];orribilmente fischiare;über meinem Haupt pfeift fürchterlich das Ultrice-Schwert, von grausamem, grobem Blut;CU
22;BibItDiversi2.txt;BibIt;diversi;Rime degli Arcadi / tomo quarto;1717.0;1700-1750;poesia;"['questa incantar poteo pluto sul soglio, e raddolcir lo sdegno ne  mostri inferni orribilmente affisso; ma l ordine prefisso ruppe l amante sposo, e la consorte trovò tra le sue braccia un altra morte.']";orribilmente affisso;"diesen Zauber könnte ich auf den Thron setzen und die Empörung versüßen, die Höllen zeigen, die schrecklich daran befestigt sind; aber der vorangestellte Befehl brach den liebenden Ehemann, und die Gemahlin fand einen weiteren Tod in ihren Armen";BU
