;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;"['vladimir con un   intonazione terribilmente gutturale , che non aveva più nulla d   inglese , non solo , ma nemmeno d   europeo ; tale da sbalordire persino mr .']";terribilmente gutturale;Vladimir mit einem furchtbar gutturalen Tonfall, der nicht nur nichts Englisches mehr hatte, nicht einmal etwas Europäisches...;NU;
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;"['si sentiva , però , terribilmente sveglio ; lo inorridiva il pensiero di trovarsi faccia a faccia col buio e col silenzio che imperano appena spento il lume .']";terribilmente sveglio;"er fühlte sich jedoch schrecklich wach; er war entsetzt über den Gedanken, sich der Dunkelheit und Stille gegenüber zu sehen, die herrschen, sobald das Licht erlischt";BU;
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;['per mrs   verloc questo appariva chiaro : che il povero ragazzo era terribilmente eccitato .'];terribilmente eccitato ;Frau Verloc war klar: Der arme Junge war schrecklich erregt;NU;
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;['introducendo poi , non appena le riuscì , il fratello stevie nella corrente degli avvenimenti domestici , ella accennò che quel ragazzo era terribilmente intristito .'];terribilmente intristito;Als sie dann, sobald sie konnte, ihren Bruder Stevie in den Lauf der häuslichen Angelegenheiten einführte, deutete sie an, dass der Junge schrecklich traurig sei;NU;
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;['era terribilmente bizzarra , egli pensò .'];terribilmente bizzarro;es war furchtbar bizarr, dachte er;NU;
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;['era ancora terribilmente pallido , con due occhi che parevano affondati d   un mezzo pollice nella faccia tesa .'];terribilmente pallido;er war immer noch schrecklich blass, mit zwei Augen, die einen halben Zentimeter in das angespannte Gesicht eingesunken zu sein schienen;BU;
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;['ne ho terribilmente bisogno .'];avere terribilmente bisogno;Ich brauche es schrecklich;NU;
10768;diacorisGadda2.txt;DiaCoris;Carlo Emilio Gadda;Traduzione di L'agente segreto di Joseph Conrad;1953.0;1951-2000;prosa letteraria;['allo scopo di sollevare lo sguardo languido verso la faccia di chi gli parlava , il personaggio davanti al caminetto aveva a poco a poco inclinato all   indietro la testa , tanto da assumere un   aria terribilmente superba .'];terribilmente superbo;um ihren trägen Blick zum Gesicht des Redners zu erheben, hatte die Person vor dem Kamin allmählich den Kopf so weit in den Nacken gelegt, dass sie eine furchtbar stolze Miene annahm;PU;
10777;LLRoncaglia1.txt;Liber Liber;Gino Roncaglia;Invito all'opera;1954.0;1951-2000;prosa letteraria;"['la scissione fra cielo e terra in questa scena avviene in modo completo e irrevocabile, e la musica lo sottolinea con una terribilità angosciosa quasi inumana; come terribilmente inumana è la fine di questo atto di una veemenza soffocante.']";terribilmente inumano;"die Spaltung zwischen Himmel und Erde vollzieht sich in dieser Szene auf vollkommene und unwiderrufliche Weise, und die Musik unterstreicht sie mit einer fast unmenschlichen, angsterfüllten Schrecklichkeit; wie schrecklich unmenschlich das Ende dieses Aktes erstickender Heftigkeit ist";BU;
10779;diacorisGuareschi2.txt;DiaCoris;Giovanni Guareschi;Corrierino delle famiglie;1954.0;1951-2000;prosa letteraria;['margherita si inquietò allora terribilmente coi ragazzi    da oggi la chiave della cassettina la tengo io !'];inquietarsi terribilmente;Margherita hat sich dann furchtbar über die Jungs geärgert, ab heute behalte ich den Schlüssel zur Box;NU;
